GEOID,pop_total,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other
245101301003,882,704,121,63,24,8,440,97,31,13,34,10,0,36,23,27,36,35,12,0,10,46,30,325,0,22,0,10,33,0,0,0,0,0,0,0,0,0,0,65,21,73,101,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,10,18,0,22,12,0,0,0,0,0,440,115,325,542,440,102,36,0,36,0,0,0,30
245101302003,487,404,15,49,10,0,227,14,11,30,0,43,0,14,0,36,21,10,22,11,0,15,0,148,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,30,41,43,6,14,0,0,0,79,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,15,10,27,6,0,10,0,0,0,227,79,148,300,227,73,13,0,16,0,0,0,44
245100905002,1335,895,109,99,46,19,471,29,37,6,22,24,39,43,43,8,67,52,27,22,20,21,11,238,0,0,0,14,0,0,0,0,0,7,14,28,17,6,6,0,16,6,44,66,8,0,0,0,233,0,0,0,0,0,0,0,0,0,24,0,0,37,45,38,30,20,13,21,5,0,0,0,0,0,0,471,233,238,591,471,120,0,0,15,0,0,0,105
245102710013,881,560,65,49,6,14,366,49,43,0,24,49,33,14,32,16,26,14,26,9,7,17,7,287,0,0,3,12,8,0,0,0,0,0,7,13,0,0,8,69,44,78,14,31,0,0,0,0,79,0,0,0,0,9,5,10,0,0,19,0,12,0,10,0,0,0,0,0,0,7,0,7,0,0,0,366,79,287,460,366,94,22,0,0,0,0,0,72
245100601001,606,398,30,37,0,0,160,0,50,27,25,0,13,0,0,0,0,17,0,7,8,13,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,30,0,0,0,0,51,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,7,13,0,10,0,0,0,0,0,160,51,109,267,160,107,46,0,21,20,0,0,20
245100601004,616,490,77,0,24,0,167,0,7,48,0,0,11,0,0,18,13,0,39,0,21,0,10,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,24,19,0,7,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,0,0,0,0,167,56,111,244,167,77,20,0,16,21,0,0,20
245100906001,1462,956,38,0,0,0,343,18,33,33,40,0,13,0,11,0,35,48,0,34,35,43,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,60,40,51,0,0,0,0,168,0,0,0,0,0,11,0,0,0,0,37,0,6,18,22,43,0,31,0,0,0,0,0,0,0,0,343,168,175,501,343,158,62,0,0,0,0,0,96
245100906004,954,618,24,16,0,0,272,22,54,33,0,0,19,0,0,26,21,9,21,11,48,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,13,11,0,0,0,181,0,0,0,22,0,0,0,0,0,0,51,0,20,20,0,48,0,12,0,0,0,8,0,0,0,0,272,181,91,304,272,32,0,0,0,0,0,0,32
245100909003,325,230,49,0,0,0,164,0,0,71,11,17,32,0,9,0,9,15,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,40,10,10,0,0,11,11,32,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,9,15,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,164,50,114,330,164,166,21,0,0,0,0,0,145
245101001003,196,130,34,0,0,0,82,0,7,5,0,0,6,0,24,6,17,0,7,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,10,7,0,7,0,0,0,16,0,0,0,0,0,0,82,46,36,143,82,61,14,0,0,0,0,0,47
245101501001,414,383,22,17,10,0,222,15,72,0,63,11,0,17,27,0,0,0,10,0,7,0,0,153,18,0,15,23,0,0,15,0,0,0,15,0,9,0,0,0,25,33,0,0,0,0,0,0,69,0,0,0,0,0,7,0,11,8,13,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,222,69,153,372,222,150,21,0,0,0,0,0,129
245101509001,1452,1039,64,22,0,0,452,0,41,23,70,42,12,0,55,0,105,39,28,0,0,25,12,225,0,0,0,0,0,0,0,0,0,0,0,0,42,0,15,52,46,0,64,6,0,0,0,0,227,8,0,0,0,12,0,0,24,0,12,24,11,27,58,34,0,8,9,0,0,0,0,0,0,0,0,452,227,225,573,452,121,57,0,0,0,0,0,64
245101509003,615,470,70,125,0,0,227,0,0,14,20,0,10,11,0,9,15,30,68,10,31,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,192,0,0,10,0,0,0,10,0,0,12,7,0,0,23,32,0,23,75,0,0,0,0,0,0,0,0,227,192,35,270,227,43,0,0,0,0,0,0,43
245102005005,955,751,17,17,0,23,377,88,34,25,19,10,49,36,0,0,8,62,31,0,0,15,0,247,0,0,10,9,34,8,0,0,41,0,0,9,8,0,26,0,14,27,33,20,0,0,0,0,130,0,0,0,0,0,71,0,8,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,377,130,247,439,377,62,0,20,21,0,0,0,21
245102005002,895,537,13,0,19,0,207,0,0,0,0,0,0,0,0,0,60,19,48,48,0,32,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,95,12,0,0,0,0,68,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,207,68,139,337,207,130,0,0,0,0,0,0,130
245102501011,1491,1031,98,39,12,0,599,0,33,102,39,38,73,26,38,16,58,56,36,34,30,0,20,315,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,24,186,29,41,9,0,0,0,0,284,0,4,0,0,0,0,0,0,8,0,0,0,10,56,26,35,83,41,12,0,9,0,0,0,0,0,599,284,315,599,599,0,0,0,0,0,0,0,0
245102604042,667,455,41,27,0,0,164,9,7,13,0,6,15,0,7,5,30,21,12,27,12,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,22,40,0,0,0,0,88,4,0,0,0,0,0,0,0,0,32,4,14,17,17,0,0,0,0,0,0,0,0,0,0,0,0,164,88,76,211,164,47,23,0,12,0,0,0,12
245102302001,820,632,270,121,51,39,434,0,11,12,11,4,0,0,27,19,12,35,91,77,57,39,39,290,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,22,30,6,103,106,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,33,32,25,11,0,0,0,0,434,144,290,516,434,82,0,0,71,0,0,0,11
245102601022,557,471,58,9,0,0,251,23,7,42,0,24,0,11,8,6,0,7,64,59,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,6,34,31,28,30,67,8,0,0,0,26,0,0,0,0,0,0,251,230,21,297,251,46,0,0,0,0,0,0,46
245102601024,559,393,11,50,0,0,269,17,0,12,0,52,16,22,0,8,41,55,10,21,15,0,0,31,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,16,0,0,0,0,0,0,0,0,17,17,56,8,54,37,25,8,0,0,0,0,0,0,0,269,238,31,305,269,36,0,0,0,0,0,0,36
245102608001,1165,894,93,33,26,0,565,57,71,81,25,53,0,47,12,35,17,48,72,22,0,25,0,362,0,0,0,17,0,0,0,0,0,5,6,76,21,5,0,0,42,85,35,70,0,0,0,0,203,0,0,0,0,0,0,0,9,21,27,28,5,13,4,61,13,4,18,0,0,0,0,0,0,0,0,565,203,362,614,565,49,12,0,12,0,0,0,25
245102704011,2162,1483,283,90,0,22,773,0,47,56,4,21,59,0,50,56,49,111,105,125,70,0,20,185,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,65,22,18,21,0,19,0,0,0,588,0,16,0,0,0,0,0,0,16,0,0,0,18,234,127,22,99,21,17,18,0,0,0,0,0,0,773,588,185,847,773,74,31,0,0,0,0,0,43
245102804014,979,776,95,22,0,27,435,11,54,15,7,30,76,0,38,18,50,74,11,20,0,31,0,162,0,0,43,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,7,81,0,0,0,0,273,0,10,0,0,0,0,0,0,0,0,0,0,33,27,34,128,41,0,0,0,0,0,0,0,0,0,435,273,162,491,435,56,0,29,0,0,0,0,27
245102804013,700,455,74,25,0,19,295,49,77,31,9,0,0,0,36,0,12,11,10,15,19,26,0,182,0,0,25,12,65,0,0,0,0,0,0,0,0,19,0,30,12,0,0,0,19,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,20,36,0,0,0,0,0,0,0,0,295,113,182,320,295,25,25,0,0,0,0,0,0
245102703021,976,790,89,17,6,27,302,11,8,12,9,0,0,20,3,9,29,32,49,36,6,16,62,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17,4,23,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,6,0,7,25,27,32,36,32,25,7,0,0,17,0,0,0,302,214,88,338,302,36,0,0,0,0,0,0,36
245102702002,791,626,188,103,14,24,320,25,6,19,5,8,18,0,41,6,9,33,68,20,33,23,6,129,0,0,0,0,0,0,0,0,0,0,0,22,0,0,5,0,30,11,0,20,0,5,0,0,191,0,0,0,0,0,0,0,0,0,0,0,6,5,0,25,14,35,31,46,15,7,7,0,0,0,0,320,191,129,333,320,13,0,0,0,0,0,0,13
